delta,replicate,loss,accuracy,n_train,sigma2_delta
0.1,6,7.9714638483123e-06,1.0,1382,2.689530186068888e-12
0.1,7,7.714195913773356e-06,1.0,1382,2.689530186068888e-12
0.1,8,8.190787400509359e-06,1.0,1382,2.689530186068888e-12
0.1,9,7.342924212735554e-06,1.0,1382,2.689530186068888e-12
0.1,10,9.780223462974868e-06,1.0,1382,2.689530186068888e-12
0.1,11,8.97474994725589e-06,1.0,1382,2.689530186068888e-12
0.1,12,8.834990247508054e-06,1.0,1382,2.689530186068888e-12
0.1,13,1.009677850460614e-05,1.0,1382,2.689530186068888e-12
0.1,14,8.649808919526082e-06,1.0,1382,2.689530186068888e-12
0.1,15,3.593974965513482e-06,1.0,1382,2.689530186068888e-12
0.1,16,7.903146583691427e-06,1.0,1382,2.689530186068888e-12
0.1,17,6.1869988189345865e-06,1.0,1382,2.689530186068888e-12
0.1,18,7.165505488723816e-06,1.0,1382,2.689530186068888e-12
0.1,19,8.694002104968206e-06,1.0,1382,2.689530186068888e-12
0.1,20,8.963081713297758e-06,1.0,1382,2.689530186068888e-12
0.1,21,8.970220406303886e-06,1.0,1382,2.689530186068888e-12
0.1,22,8.387775738985527e-06,1.0,1382,2.689530186068888e-12
0.1,23,7.602981560204642e-06,1.0,1382,2.689530186068888e-12
0.1,24,6.890720947175503e-06,1.0,1382,2.689530186068888e-12
0.1,25,3.8215041237106085e-06,1.0,1382,2.689530186068888e-12
0.1,26,8.046706136930245e-06,1.0,1382,2.689530186068888e-12
0.1,27,6.625659798375148e-06,1.0,1382,2.689530186068888e-12
0.1,28,7.082009350141348e-06,1.0,1382,2.689530186068888e-12
0.1,29,8.487258193516726e-06,1.0,1382,2.689530186068888e-12
0.2,0,8.622563187468864e-06,1.0,1228,1.2362662415043966e-11
0.2,1,1.1859176305080333e-05,1.0,1228,1.2362662415043966e-11
0.2,2,8.065967686591765e-06,1.0,1228,1.2362662415043966e-11
0.2,3,3.932918219360165e-06,1.0,1228,1.2362662415043966e-11
0.2,4,1.546094585361525e-05,1.0,1228,1.2362662415043966e-11
0.2,5,7.381993723053756e-06,1.0,1228,1.2362662415043966e-11
0.2,6,5.044291986810128e-06,1.0,1228,1.2362662415043966e-11
0.2,7,6.503564012260512e-06,1.0,1228,1.2362662415043966e-11
0.2,8,6.066587481796801e-06,1.0,1228,1.2362662415043966e-11
0.2,9,7.767321265530326e-06,1.0,1228,1.2362662415043966e-11
0.2,10,4.106226465249703e-06,1.0,1228,1.2362662415043966e-11
0.2,11,7.858106152759492e-06,1.0,1228,1.2362662415043966e-11
0.2,12,6.456915230647003e-06,1.0,1228,1.2362662415043966e-11
0.2,13,5.6807524031528294e-06,1.0,1228,1.2362662415043966e-11
0.2,14,4.582703574962849e-06,1.0,1228,1.2362662415043966e-11
0.2,15,5.005589218901213e-06,1.0,1228,1.2362662415043966e-11
0.2,16,1.5688165236152848e-05,1.0,1228,1.2362662415043966e-11
0.2,17,5.8994313160902415e-06,1.0,1228,1.2362662415043966e-11
0.2,18,4.052904501253886e-06,1.0,1228,1.2362662415043966e-11
0.2,19,6.053342378960098e-06,1.0,1228,1.2362662415043966e-11
0.2,20,5.143577450024703e-06,1.0,1228,1.2362662415043966e-11
0.2,21,7.718072316220398e-06,1.0,1228,1.2362662415043966e-11
0.2,22,4.884489454839597e-06,1.0,1228,1.2362662415043966e-11
0.2,23,3.9064442976888805e-06,1.0,1228,1.2362662415043966e-11
0.2,24,3.332052363404543e-06,1.0,1228,1.2362662415043966e-11
0.2,25,4.9183032857448705e-06,1.0,1228,1.2362662415043966e-11
0.2,26,7.167804187239172e-06,1.0,1228,1.2362662415043966e-11
0.2,27,1.650972874961902e-05,1.0,1228,1.2362662415043966e-11
0.2,28,4.8751859731998585e-06,1.0,1228,1.2362662415043966e-11
